Location Code,Location Name,postcode,Address,Mapped: outcode,Mapped: longitude,Mapped: latitude,Mapped: parliamentary_constituency,Mapped: parliamentary_constituency_2025,Mapped: codes.parliamentary_constituency,Mapped: codes.parliamentary_constituency_2025,Mapped: admin_district,Mapped: codes.admin_district,Mapped: admin_ward,Mapped: codes.admin_ward,Mapped: parish,Mapped: codes.parish,Mapped: admin_county,Mapped: codes.admin_county,Mapped: nhs_ha,Mapped: primary_care_trust,Mapped: region,Mapped: country,Mapped: lsoa,Mapped: codes.lsoa,Mapped: msoa,Mapped: codes.msoa,Mapped: ccg,Mapped: codes.ccg
B120H,Borders General Hospital,TD69BS,"Melrose, TD6 9BS",TD6,-2.741941,55.595478,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Leaderdale and Melrose,S13002765,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Bowden and Lindean Area,S01012377,Ettrick Yarrow and Liliesleaf Area,S02002320,Scottish Borders Community Health & Care Partnership,S03000004
B121H,Hawick Psychiatric Day Hospital, TD9 7AH,"c/o Hawick Community Hospital, Victoria Road, Hawick, TD9 7AH",TD9,-2.791819,55.423746,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Hawick and Denholm,S13002770,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Hawick North - Commercial Road,S01012372,Hawick North,S02002319,Scottish Borders Community Health & Care Partnership,S03000004
B122H,Hawick Psychogeriatric Day Hospital, TD9 0BG,"West Port, Drumlanrig Square, Hawick, TD9 0BG",TD9,-2.790343,55.419451,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Hawick and Hermitage,S13002771,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Hawick Central - Drumlanrig,S01012370,Hawick West End,S02002318,Scottish Borders Community Health & Care Partnership,S03000004
B123H,Peebles Psychogeriatric Day Hospital, EH45 8BD,"Firholm, Innerleithen Road, Peebles, EH45 8BD",EH45,-3.182752,55.651523,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",S14000014,S14000074,Scottish Borders,S12000026,Tweeddale West,S13002761,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Peebles - N - Eastgate,S01012255,Peebles North,S02002293,Scottish Borders Community Health & Care Partnership,S03000004
B124H,Galashiels Psychogeriatric Day Hospital, TD1 1ST,"Sime Place, Galashiels, TD1 1ST",TD1,-2.809191,55.617805,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Galashiels and District,S13002763,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Galashiels - N - Town Centre,S01012275,Galashiels North,S02002297,Scottish Borders Community Health & Care Partnership,S03000004
B127H,Eyemouth Day Hospital, TD14 5DA,"Houndlaw Park, Eyemouth, TD14 5DA",TD14,-2.0917,55.870441,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,East Berwickshire,S13002767,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Eyemouth - Central,S01012316,Eyemouth,S02002306,Scottish Borders Community Health & Care Partnership,S03000004
B128H,Crumhaugh House, TD9 0BA,"Crumhaugh Road, Hawick, TD9 0BA",TD9,-2.797807,55.419008,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Hawick and Hermitage,S13002771,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Hawick West End - Crumhaugh,S01012371,Hawick West End,S02002318,Scottish Borders Community Health & Care Partnership,S03000004
B129H,Borders Specialist Dementia Unit, TD6 9BS,"Borders General Hospital, Melrose, TD6 9BS",TD6,-2.741941,55.595478,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Leaderdale and Melrose,S13002765,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Bowden and Lindean Area,S01012377,Ettrick Yarrow and Liliesleaf Area,S02002320,Scottish Borders Community Health & Care Partnership,S03000004
B130H,Huntlyburn House, TD6 9BD,"The Cottages, Huntlyburn, Melrose, TD6 9BD",TD6,-2.747951,55.593591,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Leaderdale and Melrose,S13002765,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Bowden and Lindean Area,S01012377,Ettrick Yarrow and Liliesleaf Area,S02002320,Scottish Borders Community Health & Care Partnership,S03000004
Y101H,Castle Douglas Community Hospital, DG7 1EE,"Academy Street, Castle Douglas, DG7 1EE",DG7,-3.925913,54.939569,Dumfries and Galloway,Dumfries and Galloway,S14000013,S14000073,Dumfries and Galloway,S12000006,Castle Douglas and Crocketford,S13002883,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Castle Douglas - 03,S01007536,Castle Douglas,S02001415,Dumfries & Galloway Community Health Partnership,S03000005
Y105H,Nithbank Hospital, DG1 2SA,"Nithbank, Dumfries, DG1 2SA",DG1,-3.602708,55.062438,"Dumfriesshire, Clydesdale and Tweeddale",Dumfries and Galloway,S14000014,S14000073,Dumfries and Galloway,S12000006,Nith,S13002888,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Kingholm - 04,S01007600,Kingholm,S02001427,Dumfries & Galloway Community Health Partnership,S03000005
Y106H,Kirkcudbright Cottage Hospital, DG6 4BE,"Townend, Kirkcudbright, DG6 4BE",DG6,-4.05057,54.834517,Dumfries and Galloway,Dumfries and Galloway,S14000013,S14000073,Dumfries and Galloway,S12000006,Dee and Glenkens,S13002882,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Kirkcudbright - 02,S01007527,Kirkcudbright,S02001414,Dumfries & Galloway Community Health Partnership,S03000005
Y107H,Thomas Hope Hospital, DG13 0JX,"Langholm, DG13 0JX",DG13,-2.999731,55.150646,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",S14000014,S14000074,Dumfries and Galloway,S12000006,Annandale East and Eskdale,S13002891,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Langholm and Eskdale - 02,S01007647,Langholm and Eskdale,S02001438,Dumfries & Galloway Community Health Partnership,S03000005
Y108H,Lochmaben Hospital, DG11 1RQ,"Lochmaben, Lockerbie, DG11 1RQ",DG11,-3.453233,55.127749,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",S14000014,S14000074,Dumfries and Galloway,S12000006,Annandale North,S13002890,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Lochmaben - 02,S01007632,Lochmaben,S02001435,Dumfries & Galloway Community Health Partnership,S03000005
Y109H,Moffat Community Hospital, DG10 9JY,"Holmend, Moffat, DG10 9JY",DG10,-3.431884,55.331045,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",S14000014,S14000074,Dumfries and Galloway,S12000006,Annandale North,S13002890,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Moffat - 04,S01007644,Moffat,S02001437,Dumfries & Galloway Community Health Partnership,S03000005
Y110H,Newton Stewart Hospital, DG8 6LZ,"Newton Stewart, DG8 6LZ",DG8,-4.49183,54.95109,Dumfries and Galloway,Dumfries and Galloway,S14000013,S14000073,Dumfries and Galloway,S12000006,Mid Galloway and Wigtown West,S13002881,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Newton Stewart - 01,S01007513,Newton Stewart,S02001412,Dumfries & Galloway Community Health Partnership,S03000005
Y114H,Thornhill Hospital, DG3 5AA,"Thornhill, DG3 5AA",DG3,-3.765602,55.234944,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",S14000014,S14000074,Dumfries and Galloway,S12000006,Mid and Upper Nithsdale,S13002886,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Thornhill - 03,S01007561,Thornhill,S02001420,Dumfries & Galloway Community Health Partnership,S03000005
Y120H,Annan Hospital, DG12 6NQ,"Stapleton Road, Annan, DG12 6NQ",DG12,-3.246948,54.98821,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",S14000014,S14000074,Dumfries and Galloway,S12000006,Annandale South,S13002889,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Annan East - 08,S01007671,Annan East,S02001442,Dumfries & Galloway Community Health Partnership,S03000005
Y126H,Acorn House, DG1 4SR,"Kingholm Road, Dumfries, DG1 4SR",DG1,-3.605897,55.053696,"Dumfriesshire, Clydesdale and Tweeddale",Dumfries and Galloway,S14000014,S14000073,Dumfries and Galloway,S12000006,Nith,S13002888,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Kingholm - 04,S01007600,Kingholm,S02001427,Dumfries & Galloway Community Health Partnership,S03000005
Y129H,Wellgreen Cottages, DG1 4TD,"Glencaple Road, Dumfries, DG1 4TD",DG1,-3.599545,55.049484,"Dumfriesshire, Clydesdale and Tweeddale",Dumfries and Galloway,S14000014,S14000073,Dumfries and Galloway,S12000006,Nith,S13002888,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Kingholm - 03,S01007599,Kingholm,S02001427,Dumfries & Galloway Community Health Partnership,S03000005
Y130H,Innistaigh, DG9 7EH,"Dalrymple Street, Stranraer, DG9 7EH",DG9,-5.022303,54.898686,Dumfries and Galloway,Dumfries and Galloway,S14000013,S14000073,Dumfries and Galloway,S12000006,Stranraer and the Rhins,S13002880,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Stranraer South - 03,S01007492,Stranraer South,S02001407,Dumfries & Galloway Community Health Partnership,S03000005
Y132H,Cardoness, DG1 4TG,"Bankend Road, Dumfries, DG1 4TG",DG1,-3.596608,55.053567,"Dumfriesshire, Clydesdale and Tweeddale",Dumfries and Galloway,S14000014,S14000073,Dumfries and Galloway,S12000006,Nith,S13002888,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Kingholm - 03,S01007599,Kingholm,S02001427,Dumfries & Galloway Community Health Partnership,S03000005
Y134H,Treastaigh, DG12 6JP,"Stapleton Road, Annan, DG12 6JP",DG12,-3.245739,54.988519,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",S14000014,S14000074,Dumfries and Galloway,S12000006,Annandale South,S13002889,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Annan East - 08,S01007671,Annan East,S02001442,Dumfries & Galloway Community Health Partnership,S03000005
Y135H,Nithview Day Hospital, DG1 2SD,"Nithbank, Dumfries, DG1 2SD",DG1,-3.602522,55.062881,"Dumfriesshire, Clydesdale and Tweeddale",Dumfries and Galloway,S14000014,S14000073,Dumfries and Galloway,S12000006,Nith,S13002888,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Kingholm - 04,S01007600,Kingholm,S02001427,Dumfries & Galloway Community Health Partnership,S03000005
Y136H,Laurel Bank (CETU), DG1 2SA,"Nithbank, Dumfries, DG1 2SA",DG1,-3.602708,55.062438,"Dumfriesshire, Clydesdale and Tweeddale",Dumfries and Galloway,S14000014,S14000073,Dumfries and Galloway,S12000006,Nith,S13002888,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Kingholm - 04,S01007600,Kingholm,S02001427,Dumfries & Galloway Community Health Partnership,S03000005
Y138H,Heather Lodge (CETU), DG1 2SA,"Nithbank, Dumfries, DG1 2SA",DG1,-3.602708,55.062438,"Dumfriesshire, Clydesdale and Tweeddale",Dumfries and Galloway,S14000014,S14000073,Dumfries and Galloway,S12000006,Nith,S13002888,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Kingholm - 04,S01007600,Kingholm,S02001427,Dumfries & Galloway Community Health Partnership,S03000005
Y142H,Lismore, DG12 5HJ,"41A Prestonfield Road, Annan, DG12 5HJ",DG12,-3.252448,54.994696,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",S14000014,S14000074,Dumfries and Galloway,S12000006,Annandale South,S13002889,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Annan East - 03,S01007666,Annan East,S02001442,Dumfries & Galloway Community Health Partnership,S03000005
Y144H,Galloway Community Hospital, DG9 7DQ,"Dalrymple Street, Stranraer, DG9 7DQ",DG9,-5.021758,54.89921,Dumfries and Galloway,Dumfries and Galloway,S14000013,S14000073,Dumfries and Galloway,S12000006,Stranraer and the Rhins,S13002880,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Stranraer South - 03,S01007492,Stranraer South,S02001407,Dumfries & Galloway Community Health Partnership,S03000005
Y145H,Midpark Hospital, DG1 4TN,"Bankend Road, Dumfries, DG1 4TN",DG1,-3.589307,55.050643,"Dumfriesshire, Clydesdale and Tweeddale",Dumfries and Galloway,S14000014,S14000073,Dumfries and Galloway,S12000006,Nith,S13002888,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,Kingholm - 02,S01007598,Kingholm,S02001427,Dumfries & Galloway Community Health Partnership,S03000005
Y146H,Dumfries & Galloway Royal Infirmary, DG2 8RX,"Cargenbridge, Dumfries, DG2 8RX",DG2,-3.659007,55.058885,Dumfries and Galloway,Dumfries and Galloway,S14000013,S14000073,Dumfries and Galloway,S12000006,Abbey,S13002884,,S99999999,,S99999999,Dumfries and Galloway,Dumfries and Galloway Community Health Partnership,,Scotland,New Abbey - 02,S01007594,New Abbey,S02001426,Dumfries & Galloway Community Health Partnership,S03000005
F701H,Cameron Hospital, KY8 5RR,"Cameron Bridge, Windygates, Fife, KY8 5RR",KY8,-3.057933,56.186429,Glenrothes,North East Fife,S14000036,S14000100,Fife,S12000047,"Leven, Kennoway and Largo",S13002965,,S99999999,,S99999999,Fife,Kirkcaldy and Levenmouth Community Health Partnership,,Scotland,Windygates East,S01009616,Windygates and Coaltown,S02001812,Kirkcaldy & Levenmouth Community Health Partnership,S03000008
F704H,Victoria Hospital, KY2 5AH,"Hayfield Road, Kirkcaldy, KY2 5AH",KY2,-3.160136,56.125114,Kirkcaldy and Cowdenbeath,Cowdenbeath and Kirkcaldy,S14000041,S14000071,Fife,S12000047,Kirkcaldy East,S13002956,,S99999999,,S99999999,Fife,Kirkcaldy and Levenmouth Community Health Partnership,,Scotland,Smeaton South,S01009522,Kirkcaldy Hayfield and Smeaton,S02001793,Kirkcaldy & Levenmouth Community Health Partnership,S03000008
F705H,Victoria Maternity Unit, KY2 5AH,"Hayfield Road, Kirkcaldy, KY2 5AH",KY2,-3.160136,56.125114,Kirkcaldy and Cowdenbeath,Cowdenbeath and Kirkcaldy,S14000041,S14000071,Fife,S12000047,Kirkcaldy East,S13002956,,S99999999,,S99999999,Fife,Kirkcaldy and Levenmouth Community Health Partnership,,Scotland,Smeaton South,S01009522,Kirkcaldy Hayfield and Smeaton,S02001793,Kirkcaldy & Levenmouth Community Health Partnership,S03000008
F708H,Adamson Hospital, KY15 4JG,"Bank Street, Cupar, KY15 4JG",KY15,-3.01794,56.324314,North East Fife,North East Fife,S14000049,S14000100,Fife,S12000047,Cupar,S13002964,,S99999999,,S99999999,Fife,Glenrothes and North East Fife Community Health Partnership,,Scotland,Cupar Northern,S01009687,Cupar Central,S02001827,Glenrothes & North East Fife Community Health Partnership,S03000007
